restaurant_id,name,rating,price,review_count,categories,primary_category,category_id,location_id,latitude,longitude
MON-514398,Au Pied de Cochon,4.2,$$$,1475,Canadian (New),Chinese,1,1,45.522169,-73.57445
MON-57183,L'Express,4.3,$$$,733,French,French,2,2,45.52032,-73.57437
MON-79374,La Banquise,4.0,$$,2381,Poutineries,Chinese,1,3,45.525354,-73.574769
MON-867256,Bouillon Bilk,4.6,$$$,528,Modern European,Chinese,1,4,45.51010242374259,-73.56343199999999
MON-543673,Ichigo Ichie,4.5,$$,125,"Japanese, Pubs",Japanese,3,5,45.52128,-73.57842
MON-759662,Deville Dinerbar,4.0,$$,649,Diners,Chinese,1,6,45.499686,-73.574147
MON-660883,Le Majestique,4.4,$$,219,"Bars, Canadian (New)",Chinese,1,7,45.5175436,-73.5802618
MON-424130,Modavie,4.1,$$$,1027,"French, Mediterranean",French,2,8,45.50548,-73.55396
MON-203367,Burger Bar Crescent,4.3,$$,588,"Burgers, American, Poutineries",Chinese,1,9,45.498066,-73.577052
MON-261576,Restaurant Bonaparte,4.5,$$$,436,French,French,2,10,45.503344,-73.556115
MON-80317,Les Deux Gamins,4.2,$$,635,"French, Wine Bars, Cocktail Bars",French,2,11,45.51551334829121,-73.57096217359745
MON-227628,Poutineville,4.3,$$,649,Poutineries,Chinese,1,12,45.523205,-73.5613
MON-398955,L'Avenue,4.5,$$,1326,Breakfast & Brunch,Chinese,1,13,45.5266781712886,-73.5802391312828
MON-5503,Monarque,4.5,$$$,229,Brasseries,Chinese,1,14,45.50158,-73.55962
MON-134185,Reuben's Deli & Steakhouse,4.0,$$,730,"Delis, Sandwiches, Steakhouses",Chinese,1,15,45.49959,-73.57294
MON-939562,Ma Poule Mouillée,4.4,$$,667,"Portuguese, Chicken Shop",Chinese,1,16,45.5251692,-73.5752667883391
MON-745778,Schwartz's,4.1,$$,3423,"Delis, Sandwiches",Chinese,1,17,45.516353,-73.577642
MON-635579,Damas,4.7,$$$,475,Syrian,Chinese,1,18,45.52258,-73.61344
MON-53090,Ferreira Café,4.0,$$$,281,"Portuguese, Seafood",Chinese,1,19,45.50032,-73.57415
MON-703779,Ibéricos,4.4,$$,86,"Spanish, Tapas Bars",Spanish,4,20,45.5239019496467,-73.5824299603701
MON-52414,Kazu,4.3,$$,750,Japanese,Japanese,3,21,45.492867,-73.580078
MON-347832,Barroco,4.3,$$$,329,"Spanish, French, Cocktail Bars",Spanish,4,23,45.50138,-73.55592
MON-795487,Cadet,4.5,$$$,126,"Bars, Canadian (New)",Chinese,1,24,45.5103,-73.564418
MON-395989,Île Flottante,4.5,$$$,143,French,French,2,25,45.52352,-73.60079
MON-645850,Le Filet,4.4,$$$,118,Seafood,Chinese,1,26,45.5224024,-73.5844894
MON-197534,Joe Beef,4.3,$$$,844,"Seafood, Steakhouses",Chinese,1,27,45.483062,-73.575308
MON-657747,Dunn's,3.9,$$,365,"Poutineries, Burgers, Pizza",Chinese,1,28,45.500616619166614,-73.57158873558198
MON-731338,Arepera,4.4,$$,346,Venezuelan,Chinese,1,29,45.514992,-73.572048
MON-274420,Jérôme Ferrer Europea,4.3,$$$$,397,French,French,2,30,45.4964748,-73.5717854
MON-233594,Leméac,4.2,$$$,304,French,French,2,31,45.51832,-73.59735
MON-305390,Escondite,4.2,$$,267,"Bars, Mexican",Mexican,5,32,45.502978,-73.567959
MON-759962,Bar George,4.3,$$,281,"British, Breakfast & Brunch, Bars",Chinese,1,33,45.49914524060438,-73.575678
MON-647432,Toqué,4.2,$$$$,308,Canadian (New),Chinese,1,34,45.5029475,-73.5612041
MON-692456,Gyu-Kaku Japanese BBQ,4.4,$$$,228,"Japanese, Barbeque, Asian Fusion",Japanese,3,35,45.49681,-73.5746
MON-516730,Il Focolaio,4.3,$$,518,"Pizza, Italian",Italian,6,36,45.50407,-73.56807
MON-492829,BEVO Bar + Pizzeria,4.0,$$,424,"Bars, Pizza, Italian",Italian,6,37,45.50696,-73.55324
MON-202932,Onoir,4.3,$$$,130,"Seafood, International, Cocktail Bars",Chinese,1,38,45.515113,-73.571405
MON-453896,Saint Sushi Plateau,4.5,$$,384,"Sushi Bars, Japanese",Japanese,3,39,45.521106,-73.575346
MON-496482,Yokato Yokabai,4.2,$$,522,Ramen,Chinese,1,40,45.5212206164378,-73.578518757916
